USERID,OPENID,IP,TIME
88493,oKdjLwsNRLLWaAXiVwdZ4wYG48Jo,183.198.42.24,2016-08-07 13:15:34
105573,orFHpwMouyufoJa6WJflB685Nqus,221.192.178.13,2016-08-07 13:14:00
105538,oKdjLwnDaTZCeG0rIsxq3PeT6KUo,111.206.90.208,2016-08-07 13:10:23
105528,orFHpwITLMfZwhNOasLPqk6kMbDs,119.4.175.185,2016-08-07 13:09:45
105482,orFHpwDuRGLciRoWYHeRNMZNEUbE,111.11.246.76,2016-08-07 13:06:57
27533,orFHpwHbmH-r0HtSICiJh_8iytYA,106.112.67.5,2016-08-07 13:00:53
93610,orFHpwDhCaGSkN0eDvCrGcUW-B0s,111.226.132.27,2016-08-07 12:51:38
97259,orFHpwJOIZIFpyRQGX3jOlEMHSEs,101.23.6.44,2016-08-07 12:46:48
50668,orFHpwCiWKMtf_f0Gi7flzXOHuOQ,123.180.106.152,2016-08-07 12:43:05
38598,orFHpwAcz7VDCanTg_GcqxzXISCo,218.11.217.160,2016-08-07 12:32:40
28409,orFHpwDRyzQ8Zs0_d8u84iwM_Jmc,123.180.35.206,2016-08-07 12:29:10
105181,oKdjLwsLavG2SZ-cuvE2NaQOICOM,123.180.35.206,2016-08-07 12:28:33
105176,oKdjLwrKimuo63ENUK0BYmRIKVec,110.246.113.7,2016-08-07 12:28:00
105050,oKdjLwhOl2CbNxuvh0Dd7OYzFjLQ,120.14.0.87,2016-08-07 12:17:50
105047,oKdjLwr3faz4uS65AbffClJNaTA8,111.226.128.122,2016-08-07 12:17:31
77952,oKdjLwg01F19G94GjqmJpUjQKgqo,110.241.204.88,2016-08-07 12:15:20
105025,oKdjLwm4l7mqlRfMg_Y4Lig0e3Ik,106.112.70.35,2016-08-07 12:14:10
93975,orFHpwIHTzAVjwQf936P_BVNQn_k,115.25.208.63,2016-08-07 12:10:12
104830,oKdjLwgzQxidEpj9DVc1wbOjdOyw,110.182.79.126,2016-08-07 11:57:16
104824,orFHpwPBoO9D5Ik-eV1HKCk-AcOI,110.182.79.126,2016-08-07 11:56:46
104819,orFHpwPatMB4T8squ7_G-KAvmhws,113.26.44.6,2016-08-07 11:55:54
28147,orFHpwKHRE_EElK7CjdWJHRnVNqY,60.6.228.148,2016-08-07 11:50:56
104649,oKdjLwkOWh947pht0c235flYfKQM,123.138.19.217,2016-08-07 11:50:08
104764,oKdjLwkss7G1RMaR3fcgg5rAXY_k,111.37.20.18,2016-08-07 11:49:58
76239,orFHpwBXD7NVtSDWjXWs_l_DXrSE,121.19.51.16,2016-08-07 11:49:53
66765,orFHpwEd5ZM2QcTmxatI2qj2Rd7w,111.37.20.18,2016-08-07 11:49:37
67246,orFHpwI9RlWqrfMwDlC8em7uHQsc,123.138.19.217,2016-08-07 11:49:35
104742,oKdjLwv-B3w2Faq6Lec5zoiD3ur0,113.26.44.6,2016-08-07 11:47:05
104713,oKdjLwlFSM2rmikT1ENGJyCjERr4,1.69.39.148,2016-08-07 11:43:18
104704,orFHpwEok3BWAUcdukmjoKFvpUOQ,125.65.105.93,2016-08-07 11:42:03
104689,oKdjLwnUg0JiPgIHQsEKAj1y6-U8,113.26.44.6,2016-08-07 11:41:44
104697,oKdjLwsQboT9mQUMdxSSwoZAYGFA,60.15.202.38,2016-08-07 11:41:42
104696,oKdjLwkimFGYvbjiPXUOu6P5WewE,171.127.196.249,2016-08-07 11:41:38
92111,oKdjLwshwmDrZNVIgrfiK_GJ3yh8,123.171.83.213,2016-08-07 11:41:36
104685,orFHpwN7LELoElT_qLWCn7P38dTI,60.15.202.38,2016-08-07 11:41:02
104692,orFHpwBLbKsPuAcDGLVokEfLMH4A,125.65.105.93,2016-08-07 11:40:57
92085,orFHpwBfMl87Ss1kFOWIkofD33rw,123.171.83.213,2016-08-07 11:40:53
104693,oKdjLwgdVQa_DRqXYu52dkk0L1PA,218.203.63.232,2016-08-07 11:40:48
104691,orFHpwIFGokNsJ2zASKco_gSwS5g,113.26.44.6,2016-08-07 11:40:43
104686,oKdjLwnZiKKqC6AGIIBIKkXdV4EI,202.111.138.11,2016-08-07 11:40:28
104688,oKdjLwhkqOWDOQKXuFwdVHj583H8,1.25.122.25,2016-08-07 11:40:26
104687,oKdjLwhgwTaW90DTby7uz72AmKag,110.177.27.25,2016-08-07 11:40:22
104682,oKdjLwjJY40gpHp0JFTLjCd2Pf_8,60.221.134.185,2016-08-07 11:40:16
104679,oKdjLwlSDQZERWABdeebEsshzbYo,223.104.14.74,2016-08-07 11:39:55
104675,oKdjLwrtzWex1qmllG2LFFreKq6o,113.26.32.28,2016-08-07 11:39:43
104667,oKdjLwrih13vDXRKO-g8Zj5tkih4,110.247.95.146,2016-08-07 11:39:31
104673,orFHpwLWZs5ASA-scrtNvXjbMmJM,110.177.27.25,2016-08-07 11:39:31
104671,orFHpwNoyTqQYlI1lVElFqP-EEYM,60.221.134.185,2016-08-07 11:39:25
104672,oKdjLwrJU1LV8Dto3-xGOvDhNJA8,218.28.243.62,2016-08-07 11:39:23
104664,orFHpwH6woxMdmZPoZyD9P6AHLTY,1.25.122.25,2016-08-07 11:39:01
66855,orFHpwFZGSGi2Vm9EdStoWTT3bg8,218.28.243.62,2016-08-07 11:38:54
104663,oKdjLwvZitayVDMtek1cvlnPh9Eg,183.186.74.83,2016-08-07 11:38:44
104642,orFHpwNSaG_Wp44h53S7Gl6vIoVM,183.186.74.83,2016-08-07 11:38:19
104646,orFHpwD5gUiIB_nKz8MBW98mbK80,171.127.196.249,2016-08-07 11:38:01
104627,orFHpwJTJXfThhK-qIA5gU7DVRok,110.247.95.146,2016-08-07 11:38:00
104645,oKdjLwu5hO3QkTH-TPAHDA1IyWNg,222.223.136.31,2016-08-07 11:37:49
104565,oKdjLwoOJeNV-E88-H2NM4hefmA8,1.25.122.25,2016-08-07 11:37:42
104640,orFHpwFRQb8pfwtg-XJiFOHBsDD0,222.223.136.31,2016-08-07 11:37:20
104635,oKdjLwjE2JX_csGB-US1nqaJWuMc,60.221.134.27,2016-08-07 11:37:06
104634,oKdjLwsWJ5azrol6iYCUFjaLXVvI,43.225.237.244,2016-08-07 11:36:58
66530,orFHpwPxtZbpiZROUiM0KPm5hsLQ,113.26.32.28,2016-08-07 11:36:48
104478,oKdjLwoCUvabV6gBye4BPkZIM6C8,223.104.14.95,2016-08-07 11:36:39
104628,oKdjLwm-r3ws6sfrwd-FEH0BoHP4,111.26.31.112,2016-08-07 11:36:37
104626,oKdjLwtKKp1UA2ixBQlzQxW1rutE,223.96.156.97,2016-08-07 11:36:35
104624,oKdjLwqS6pOt1pVFJDzjHrtjSm70,43.225.237.180,2016-08-07 11:36:23
104625,oKdjLwtJwAsClw_UmdMy97LeBiPY,122.7.121.183,2016-08-07 11:36:19
104621,oKdjLwrO50iBqwwFDlhCUYeJd7m8,183.202.93.201,2016-08-07 11:36:08
104486,oKdjLws1EEdVlfDxMRwPi-o6Cbe8,175.173.181.200,2016-08-07 11:35:59
104618,oKdjLwo7rI3qt3Sq0ptkc3I93hnw,183.186.47.221,2016-08-07 11:35:56
104616,oKdjLwgquzqrBWyC2ZunXLTlnjsM,100.61.185.151,2016-08-07 11:35:54
104617,oKdjLwpvLOF3GSMr6ky8hET3zYIM,183.186.74.83,2016-08-07 11:35:41
104613,orFHpwOkUBmv-ZplcMhccHKGcwrM,218.203.63.232,2016-08-07 11:35:36
104614,oKdjLwmXokqSXJsVaAJxYCIaq27I,125.65.105.93,2016-08-07 11:35:34
104612,oKdjLwleWCO-m-9tgNNtzWQ7H95M,120.194.7.126,2016-08-07 11:35:25
104601,orFHpwJnfPmXOPHABSZlvRtobKpo,183.186.74.83,2016-08-07 11:35:16
104603,orFHpwIwsVI74KOAI1UAYpG2qda4,221.192.178.85,2016-08-07 11:35:11
